Inflation,Imports,Expenditure,MilitaryExpenditure,ExternalDebt,TotalReserves,ExterDebtLn,TotalReservesLn,Exports,EmploymentInIndustry,EmploymentInServices ,TotalReservesDebt
7.844264737,19.43,16.78490929,6.532725256,1857869505,1192694259,21.34269624,20.89948067,16.93239271,21.02471238,32.66274203,5.220971911
9.052131553,20.35,15.1367556,6.522320235,1856125417,1302246972,21.34175704,20.98735705,17.27072731,21.14194012,32.01320062,6.114823874
11.79127034,20.25,14.26366843,6.570952788,1886412669,1046429501,21.3579428,20.76864973,16.20209462,21.26326322,33.49053837,8.127571119
9.509041462,18.49,12.84207746,6.698187549,1964505173,1219792227,21.39850623,20.92194638,16.15838057,21.29830697,32.42457312,13.56595542
9.97366476,20.42,13.01999286,6.427312623,2306942238,1523790726,21.55918878,21.14446697,16.70996966,21.46127356,34.61648544,8.357980249
12.36819439,22.3,12.02100061,5.923548293,2384905398,1995445624,21.5924253,21.41413323,16.90310178,21.61672043,34.61574167,4.379972643
12.34357852,18.9,11.74352411,5.820225283,3432886555,3715827397,21.95666731,22.03586721,16.08195323,20.91506295,36.88180837,5.962805478
10.37380859,19.42,12.64510019,6.037166305,3207271873,2527544035,21.88868653,21.65051393,16.48479118,20.81621665,35.58856948,5.031465146
11.37549289,21.43,11.89357051,5.621216489,3301456859,1307463615,21.91762968,20.99135493,15.35349933,20.95786137,35.59094955,6.19322258
6.228004154,20.77,11.26410562,5.415095044,4105800079,1794513747,22.13566646,21.30799993,9.629626104,21.11902904,33.86847168,6.303771758
4.142637181,17.53,10.36009991,5.189899265,2302762687,1625676185,21.55737541,21.20918968,10.62617308,21.19644839,34.2514228,13.0318188
4.366664513,16.97,9.916020665,4.168722714,2944312093,2117468755,21.80314104,21.47348723,11.26296557,20.76024794,37.14829282,25.62817423
3.148261446,11.83,8.65570653,3.878933945,2871481226,2087167574,21.77809384,21.45907376,12.16464391,20.76181713,37.14744347,31.90199344
3.290344726,12.95,9.628569417,4.073770168,3001727425,4218132004,21.82245377,22.16265821,11.42297416,20.31294752,36.61760614,29.0197323
2.914134701,11.87,9.731216771,4.091427187,2885789723,8795802481,21.78306443,22.89754045,12.25184593,20.31312091,36.61876141,32.1282818
7.444624693,12.49,9.686786664,3.956034117,3077482893,11815604886,21.84737786,23.19268694,12.54894332,20.73123917,35.88016831,34.13792252
9.06332737,13.39,9.160955624,3.897019393,4294829359,10718170457,22.18067766,23.09520631,11.6250762,20.9822377,35.38613655,37.08077652
7.921084401,17.63,11.56859131,3.645255204,2475418053,11109358834,21.62967513,23.13105373,11.87581844,20.11582136,35.1889219,17.98134499
7.598684411,20.5,10.4024955,3.5119861,2334974344,12878021928,21.57126674,23.27878797,12.39098651,20.9846668,35.70764599,23.87014419
20.28612109,19.16,10.58209479,3.459371004,2682475746,15798067447,21.71000599,23.48315346,12.63722214,21.4181005,35.19241327,27.18142347
13.64776506,22.47,11.52882407,3.265223993,3056956576,9024013987,21.84068567,22.92315508,13.48255486,21.76813933,34.73843948,27.19063116
12.93887056,20.94,10.91875674,3.423690973,3502898980,13606125134,21.97685674,23.33378591,11.87396218,22.29832087,34.80569168,21.40358834
11.91609271,19.35,10.22658705,3.285650816,4350819584,17255570040,22.19363007,23.57140083,12.17749928,22.92187198,34.84156641,12.68911342
9.682351861,18.88,10.0992949,3.484333924,3020928379,17697925812,21.82883003,23.59671328,11.19497253,22.87318925,34.89361508,22.22939947
7.692156119,19.45,10.259806,3.475613872,4953447997,13688479776,22.32334974,23.33982042,9.974571017,24.01964546,34.97034489,29.13151067
7.189384028,18.71,10.02737636,3.485250889,6959772577,7651260102,22.66341264,22.75813619,8.736717247,23.59314732,34.13877036,29.28952334
2.529328173,18.27,9.78896258,2.985381321,4846164904,14306811155,22.30145349,23.38400157,8.221612469,24.27302722,35.86146268,19.81132374
3.765119164,16.71,10.60895585,2.948957437,4135546581,20027864211,22.14288534,23.72039035,8.581799708,24.98879191,37.59479039,11.81365465
4.08537368,15.96,10.75374079,3.082317827,4352854475,22027605270,22.19409767,23.81556229,9.390863379,24.33150086,37.35960289,15.05390393
5.078057259,17.25,10.99362564,3.267359007,6809478321,18455861310,22.64158135,23.63864784,9.298559043,24.75385292,37.23217766,15.6898481
10.5783618,19.04,10.74975317,3.285515486,6119888530,11837177726,22.53480972,23.19451107,9.051600462,25.42805381,37.47390755,17.43033447
9.739993139,19.51,11.78880055,3.019275832,11101488175,16586046186,23.13034501,23.53182759,10.54601793,25.51703974,38.05265575,7.819766845
